Day,08:00,持續時間,09:00,持續時間,10:00,持續時間,11:00,持續時間,12:00,持續時間,13:00,持續時間,14:00,持續時間,15:00,持續時間,16:00,持續時間,17:00,持續時間,18:00,持續時間,19:00,持續時間,20:00,持續時間,21:00,持續時間,22:00,持續時間,23:00,持續時間,00:00,持續時間,01:00,持續時間,02:00,持續時間,03:00,持續時間,04:00,持續時間,05:00,持續時間,06:00,持續時間,07:00,持續時間
第1天,起床,30,刷牙,120,上廁所,120,吃飯,3638,休閒活動,3523,吃飯,3523,休閒活動,3230,休閒活動,3600,上廁所,120,休閒活動,3100,休閒活動,2134,上廁所,120,吃飯,600,休閒活動,2134,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第2天,起床,35,刷牙,135,上廁所,135,吃飯,3655,休閒活動,3600,吃飯,3600,休閒活動,2800,休閒活動,3100,上廁所,135,休閒活動,3523,休閒活動,2345,上廁所,135,吃飯,600,休閒活動,2345,休閒活動,3523,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第3天,起床,32,刷牙,120,上廁所,120,吃飯,3487,休閒活動,3100,吃飯,3100,休閒活動,2000,休閒活動,3230,上廁所,120,休閒活動,3600,休閒活動,2356,上廁所,120,吃飯,600,休閒活動,2356,休閒活動,3600,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第4天,起床,31,刷牙,200,上廁所,200,吃飯,2657,休閒活動,3230,吃飯,3230,休閒活動,3100,休閒活動,2800,上廁所,200,休閒活動,3100,休閒活動,3523,上廁所,200,吃飯,600,休閒活動,3523,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第5天,起床,40,刷牙,900,上廁所,900,吃飯,3655,休閒活動,2800,吃飯,2800,休閒活動,2134,休閒活動,2000,上廁所,900,休閒活動,3230,休閒活動,3600,上廁所,900,吃飯,600,休閒活動,3600,休閒活動,3230,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第6天,起床,60,刷牙,350,上廁所,350,吃飯,2467,休閒活動,2000,吃飯,2000,休閒活動,2345,休閒活動,3100,上廁所,350,休閒活動,2800,休閒活動,3100,上廁所,350,吃飯,600,休閒活動,3100,休閒活動,2800,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第7天,起床,30,刷牙,270,上廁所,270,吃飯,2300,休閒活動,3100,吃飯,3100,休閒活動,2356,休閒活動,3523,上廁所,270,休閒活動,2000,休閒活動,3230,上廁所,270,吃飯,600,休閒活動,3230,休閒活動,2000,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第8天,起床,36,刷牙,120,上廁所,120,吃飯,3638,休閒活動,2134,吃飯,2134,休閒活動,3523,休閒活動,3600,上廁所,120,休閒活動,3100,休閒活動,2800,上廁所,120,吃飯,600,休閒活動,2800,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第9天,起床,38,刷牙,135,上廁所,135,吃飯,3655,休閒活動,2345,吃飯,2345,休閒活動,3600,休閒活動,3100,上廁所,135,休閒活動,2134,休閒活動,2000,上廁所,135,吃飯,600,休閒活動,2000,休閒活動,2134,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第10天,起床,50,刷牙,120,上廁所,120,吃飯,3487,休閒活動,2356,吃飯,2356,休閒活動,3100,休閒活動,3230,上廁所,120,休閒活動,800,休閒活動,3100,上廁所,120,吃飯,600,休閒活動,3100,休閒活動,800,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第11天,起床,65,刷牙,200,上廁所,200,吃飯,2657,休閒活動,3523,吃飯,3523,休閒活動,3230,休閒活動,2800,上廁所,200,休閒活動,856,休閒活動,3523,上廁所,200,吃飯,600,休閒活動,3523,休閒活動,856,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第12天,起床,67,刷牙,900,上廁所,900,吃飯,3655,休閒活動,3600,吃飯,3600,休閒活動,2800,休閒活動,2000,上廁所,900,休閒活動,432,休閒活動,3600,上廁所,900,吃飯,600,休閒活動,3600,休閒活動,432,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第13天,起床,50,刷牙,350,上廁所,350,吃飯,2467,休閒活動,3100,吃飯,3100,休閒活動,2000,休閒活動,3100,上廁所,350,休閒活動,657,休閒活動,3100,上廁所,350,吃飯,600,休閒活動,3100,休閒活動,657,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第14天,起床,30,刷牙,120,上廁所,120,吃飯,2300,休閒活動,3230,吃飯,3230,休閒活動,3100,休閒活動,2134,上廁所,120,休閒活動,2345,休閒活動,3230,上廁所,120,吃飯,600,休閒活動,3230,休閒活動,2345,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第15天,起床,35,刷牙,135,上廁所,135,吃飯,3600,休閒活動,2800,吃飯,2800,休閒活動,3523,休閒活動,800,上廁所,135,休閒活動,2356,休閒活動,2800,上廁所,135,吃飯,600,休閒活動,2800,休閒活動,2356,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第16天,起床,32,刷牙,120,上廁所,120,吃飯,3638,休閒活動,2000,吃飯,2000,休閒活動,3600,休閒活動,856,上廁所,120,休閒活動,3523,休閒活動,2000,上廁所,120,吃飯,600,休閒活動,2000,休閒活動,3523,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第17天,起床,31,刷牙,200,上廁所,200,吃飯,3655,休閒活動,3100,吃飯,3100,休閒活動,3100,休閒活動,432,上廁所,200,休閒活動,3600,休閒活動,3100,上廁所,200,吃飯,600,休閒活動,3100,休閒活動,3600,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第18天,起床,40,刷牙,900,上廁所,900,吃飯,3487,休閒活動,3523,吃飯,3523,休閒活動,3230,休閒活動,657,上廁所,900,休閒活動,3100,休閒活動,2134,上廁所,900,吃飯,600,休閒活動,2134,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第19天,起床,60,刷牙,350,上廁所,350,吃飯,2657,休閒活動,3600,吃飯,3600,休閒活動,2800,休閒活動,2345,上廁所,350,休閒活動,3230,休閒活動,800,上廁所,350,吃飯,600,休閒活動,800,休閒活動,3230,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第20天,起床,30,刷牙,120,上廁所,120,吃飯,3655,休閒活動,3100,吃飯,3100,休閒活動,2000,休閒活動,2356,上廁所,120,休閒活動,2800,休閒活動,856,上廁所,120,吃飯,600,休閒活動,856,休閒活動,2800,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第21天,起床,36,刷牙,135,上廁所,135,吃飯,2467,休閒活動,3230,吃飯,3230,休閒活動,3100,休閒活動,3523,上廁所,135,休閒活動,2000,休閒活動,432,上廁所,135,吃飯,600,休閒活動,432,休閒活動,2000,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第22天,起床,38,刷牙,120,上廁所,120,吃飯,2300,休閒活動,2800,吃飯,2800,休閒活動,2134,休閒活動,3600,上廁所,120,休閒活動,3100,休閒活動,657,上廁所,120,吃飯,600,休閒活動,657,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第23天,起床,50,刷牙,200,上廁所,200,吃飯,3638,休閒活動,2000,吃飯,2000,休閒活動,800,休閒活動,3100,上廁所,200,休閒活動,2134,休閒活動,2345,上廁所,200,吃飯,600,休閒活動,2345,休閒活動,2134,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第24天,起床,65,刷牙,900,上廁所,900,吃飯,3655,休閒活動,3100,吃飯,3100,休閒活動,856,休閒活動,3230,上廁所,900,休閒活動,2345,休閒活動,2356,上廁所,900,吃飯,600,休閒活動,2356,休閒活動,2345,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第25天,起床,67,刷牙,350,上廁所,350,吃飯,3487,休閒活動,2134,吃飯,2134,休閒活動,432,休閒活動,2800,上廁所,350,休閒活動,2356,休閒活動,3523,上廁所,350,吃飯,600,休閒活動,3523,休閒活動,2356,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第26天,起床,50,刷牙,120,上廁所,120,吃飯,2657,吃飯,800,吃飯,800,休閒活動,657,吃飯,2000,吃飯,120,吃飯,3523,休閒活動,3600,上廁所,120,吃飯,600,休閒活動,3600,休閒活動,3523,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第27天,起床,30,刷牙,135,上廁所,135,吃飯,3655,吃飯,856,吃飯,856,休閒活動,2345,吃飯,3100,吃飯,135,吃飯,3600,休閒活動,3100,上廁所,135,吃飯,600,休閒活動,3100,休閒活動,3600,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第28天,起床,35,刷牙,120,上廁所,120,吃飯,2467,吃飯,432,吃飯,432,休閒活動,2356,吃飯,2134,吃飯,120,吃飯,3100,休閒活動,3230,上廁所,120,吃飯,600,休閒活動,3230,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第29天,起床,32,刷牙,200,上廁所,200,吃飯,2300,吃飯,657,吃飯,657,休閒活動,3523,吃飯,2345,吃飯,200,吃飯,3230,休閒活動,2800,上廁所,200,吃飯,600,休閒活動,2800,休閒活動,3230,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第30天,起床,31,刷牙,900,上廁所,900,吃飯,3600,吃飯,2345,吃飯,2345,休閒活動,3600,吃飯,2356,吃飯,900,吃飯,2800,休閒活動,2000,上廁所,900,吃飯,600,休閒活動,2000,休閒活動,2800,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第31天,起床,40,刷牙,350,上廁所,350,吃飯,600,吃飯,2356,吃飯,2356,休閒活動,3100,吃飯,3523,吃飯,350,吃飯,2000,休閒活動,3100,上廁所,350,吃飯,600,休閒活動,3100,休閒活動,2000,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第32天,起床,60,刷牙,270,上廁所,270,吃飯,3638,休閒活動,3523,吃飯,3523,休閒活動,3230,休閒活動,3600,上廁所,270,休閒活動,3100,休閒活動,2134,上廁所,270,吃飯,600,休閒活動,2134,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第33天,起床,30,刷牙,120,上廁所,120,吃飯,3655,休閒活動,3600,吃飯,3600,休閒活動,2800,休閒活動,3100,上廁所,120,休閒活動,3523,休閒活動,2345,上廁所,120,吃飯,600,休閒活動,2345,休閒活動,3523,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第34天,起床,36,刷牙,200,上廁所,200,吃飯,3487,休閒活動,3100,吃飯,3100,休閒活動,2000,休閒活動,3230,上廁所,200,休閒活動,3600,休閒活動,2356,上廁所,200,吃飯,600,休閒活動,2356,休閒活動,3600,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第35天,起床,38,刷牙,900,上廁所,900,吃飯,2657,休閒活動,3230,吃飯,3230,休閒活動,3100,休閒活動,2800,上廁所,900,休閒活動,3100,休閒活動,3523,上廁所,900,吃飯,600,休閒活動,3523,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第36天,起床,50,刷牙,350,上廁所,350,吃飯,3655,休閒活動,2800,吃飯,2800,休閒活動,2134,休閒活動,2000,上廁所,350,休閒活動,3230,休閒活動,3600,上廁所,350,吃飯,600,休閒活動,3600,休閒活動,3230,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第37天,起床,65,刷牙,120,上廁所,120,吃飯,2467,休閒活動,2000,吃飯,2000,休閒活動,2345,休閒活動,3100,上廁所,120,休閒活動,2800,休閒活動,3100,上廁所,120,吃飯,600,休閒活動,3100,休閒活動,2800,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第38天,起床,67,刷牙,135,上廁所,135,吃飯,2300,休閒活動,3100,吃飯,3100,休閒活動,2356,休閒活動,3523,上廁所,135,休閒活動,2000,吃飯,3230,吃飯,135,吃飯,600,休閒活動,3230,休閒活動,2000,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第39天,起床,50,刷牙,120,上廁所,120,吃飯,3638,休閒活動,2134,吃飯,2134,休閒活動,3523,休閒活動,3600,上廁所,120,休閒活動,3100,吃飯,2800,吃飯,120,吃飯,600,休閒活動,2800,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第40天,起床,30,刷牙,200,上廁所,200,吃飯,3655,休閒活動,2345,吃飯,2345,休閒活動,3600,休閒活動,3100,上廁所,200,休閒活動,2134,休閒活動,2000,上廁所,200,吃飯,600,休閒活動,2000,休閒活動,2134,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第41天,起床,35,刷牙,900,上廁所,900,吃飯,3487,休閒活動,2356,吃飯,2356,休閒活動,3100,休閒活動,3230,上廁所,900,休閒活動,3523,休閒活動,3100,上廁所,900,吃飯,600,休閒活動,3100,休閒活動,3523,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第42天,起床,32,刷牙,350,上廁所,350,吃飯,2657,休閒活動,3523,吃飯,3523,休閒活動,3230,休閒活動,2800,上廁所,350,休閒活動,3600,休閒活動,3523,上廁所,350,吃飯,600,休閒活動,3523,休閒活動,3600,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第43天,起床,31,刷牙,270,上廁所,270,吃飯,3655,休閒活動,3600,吃飯,3600,休閒活動,2800,休閒活動,2000,上廁所,270,休閒活動,3100,休閒活動,3600,上廁所,270,吃飯,600,休閒活動,3600,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第44天,起床,40,刷牙,120,上廁所,120,吃飯,2467,休閒活動,3100,吃飯,3100,休閒活動,2000,休閒活動,3100,上廁所,120,休閒活動,3230,休閒活動,3100,上廁所,120,吃飯,600,休閒活動,3100,休閒活動,3230,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第45天,起床,60,刷牙,200,上廁所,200,吃飯,2300,休閒活動,3230,吃飯,3230,休閒活動,3100,休閒活動,2134,上廁所,200,休閒活動,2800,休閒活動,3230,上廁所,200,吃飯,600,休閒活動,3230,休閒活動,2800,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第46天,起床,30,刷牙,900,上廁所,900,吃飯,3600,休閒活動,2800,吃飯,2800,休閒活動,3523,休閒活動,3523,上廁所,900,休閒活動,2000,休閒活動,2800,上廁所,900,吃飯,600,休閒活動,2800,休閒活動,2000,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第47天,起床,36,刷牙,350,上廁所,350,吃飯,3638,休閒活動,2000,吃飯,2000,休閒活動,3600,休閒活動,3600,上廁所,350,休閒活動,3100,休閒活動,2000,上廁所,350,吃飯,600,休閒活動,2000,休閒活動,3100,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第48天,起床,38,刷牙,120,上廁所,120,吃飯,3655,休閒活動,3100,吃飯,3100,休閒活動,3100,休閒活動,3100,上廁所,120,休閒活動,2134,休閒活動,3100,上廁所,120,吃飯,600,休閒活動,3100,休閒活動,2134,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第49天,起床,50,刷牙,135,上廁所,135,吃飯,3487,休閒活動,3523,吃飯,3523,休閒活動,3230,休閒活動,3230,上廁所,135,休閒活動,2345,休閒活動,2134,上廁所,135,吃飯,600,休閒活動,2134,休閒活動,2345,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
第50天,起床,65,刷牙,120,上廁所,120,吃飯,2657,休閒活動,3600,吃飯,3600,休閒活動,2800,休閒活動,2800,上廁所,120,休閒活動,2356,休閒活動,3523,上廁所,120,吃飯,600,休閒活動,3523,休閒活動,2356,刷牙,600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600,睡覺,3600
